(It) depends on…	(Это) зависит от…	Reverse	2/19/2021 Vitaliy
2 days ago	2 дня назад	Reverse	2/08/2021 Alisa
7 days	семь дней	Reverse	4/09/2021 Alisa
a drink	напиток	Reverse	1/22/2021 Vitaliy
a gun	пистолет	Reverse	2/24/2021 Nastya
a shop	магазин	Reverse	2/02/2021 Nastya
accidently	случайно	Reverse	3/26/2021 Vitaliy
adult	взрослый	Reverse	2/27/2021 Nastya
adults	взрослые	Reverse	2/15/2021 Katya
after	после	Reverse	2/10/2021 Nastya
after	после	Reverse	2/02/2021 Nastya
after friday	после пятницы	Reverse	4/09/2021 Alisa
after this	после этого	Reverse	4/09/2021 Alisa
all together	все вместе	Reverse	4/09/2021 Alisa
allowed	можно	Reverse	2/19/2021 Vitaliy
almost	почти	Reverse	3/26/2021 Vitaliy
almost sandwich	бутерброд c … (икрой / сыром / колбасой)	Reverse	3/3/2021 Nastya
always	всегда	Reverse	1/08/2021 Nastya
American	Американец	Reverse	2/27/2021 Nastya
animals	животные	Reverse	1/08/2021 Nastya
another	другой	Reverse	1/26/2021 Natasha
around the lake	вокруг озера	Reverse	3/29/2021 Alisa
as a cat	как у кота	Reverse	1/29/2021 Vitaliy
at first	сначала	Reverse	4/05/2021 Julia
aunt	тетя	Reverse	2/22/2021 Vitaliy
bear	медведь	Reverse	2/24/2021 Nastya
because	потому что	Reverse	1/29/2021 Vitaliy
bed	кровать	Reverse	2/15/2021 Katya
bed	кровать	Reverse	1/26/2021 Natasha
before this class	до этого урока	Reverse	4/09/2021 Alisa
before yesterday	позавчера	Reverse	2/08/2021 Alisa
black	чёрный	Reverse	1/08/2021 Nastya
border	граница	Reverse	2/08/2021 Alisa
boss	начальник/начальница	Reverse	3/31/2021 Julia
brain	мозг	Reverse	3/26/2021 Vitaliy
breed	порода	Reverse	2/24/2021 Nastya
brown	коричневый	Reverse	1/08/2021 Nastya
butter	масло	Reverse	3/3/2021 Nastya
by plane	на самолёте	Reverse	3/1/2021 Alisa
by train	на поезде	Reverse	3/1/2021 Alisa
cabbage                                                              Кулич	Капуста	Reverse	3/3/2021 Nastya
cactus	кактус(ы)	Reverse	2/10/2021 Nastya
calluses callosity	мозоли	Reverse	2/22/2021 Vitaliy
capital	столица	Reverse	2/10/2021 Nastya
careful, neat	аккуратно	Reverse	3/29/2021 Alisa
case	падеж	Reverse	4/09/2021 Alisa
child	ребёнок	Reverse	2/24/2021 Nastya
children	дети	Reverse	2/24/2021 Nastya
church	церковь	Reverse	2/22/2021 Vitaliy
coast	берег	Reverse	1/26/2021 Natasha
cold	холодно	Reverse	1/08/2021 Nastya
colour	цвет	Reverse	1/08/2021 Nastya
comfortable	удобно	Reverse	3/1/2021 Alisa
conversation	разговор, беседа	Reverse	2/08/2021 Alisa
cough	кашель	Reverse	3/10/2021 Alisa
country	страна	Reverse	1/22/2021 Vitaliy
dangerous	опасно	Reverse	3/29/2021 Alisa
decide	решить	Reverse	2/22/2021 Vitaliy
degree	градус	Reverse	1/08/2021 Nastya
desert	пустыня	Reverse	2/02/2021 Nastya
different	разные	Reverse	4/09/2021 Alisa
difficult	сложно	Reverse	3/10/2021 Alisa
difficult	сложно , трудно	Reverse	3/1/2021 Alisa
difficult	трудно, трудный	Reverse	2/15/2021 Katya
dish	блюдо	Reverse	3/3/2021 Nastya
during the holidays	в праздники	Reverse	3/10/2021 Alisa
Easter	Пасха	Reverse	3/3/2021 Nastya
easy	легко, лёгкий	Reverse	2/15/2021 Katya
electrician	электрик	Reverse	2/02/2021 Nastya
even	даже	Reverse	2/19/2021 Vitaliy
event / holiday	событие / праздник	Reverse	3/3/2021 Nastya
everywhere	везде	Reverse	4/09/2021 Alisa
everywhere	везде	Reverse	2/17/2021 Nastya
expensive	дорого	Reverse	3/3/2021 Nastya
expensive	дорогой	Reverse	2/17/2021 Nastya
expensive	дорого	Reverse	2/02/2021 Nastya
experience	опыт	Reverse	2/22/2021 Vitaliy
F	Фаренгейт	Reverse	1/08/2021 Nastya
favourite	любимый	Reverse	1/26/2021 Natasha
fit, sportive	спортивный	Reverse	2/27/2021 Nastya
floor	этаж	Reverse	1/08/2021 Nastya
folk music	народная музыка	Reverse	2/05/2021 Julia
food	еда	Reverse	1/08/2021 Nastya
forest	лес	Reverse	2/02/2021 Nastya
friends	друзья	Reverse	2/02/2021 Nastya
friends	друзья	Reverse	1/08/2021 Nastya
funny	весёлый	Reverse	1/08/2021 Nastya
german	немецкий	Reverse	1/26/2021 Natasha
get well soon	выздоравливай	Reverse	3/10/2021 Alisa
go up	подниматься	Reverse	3/29/2021 Alisa
goal	цель	Reverse	3/26/2021 Vitaliy
grandchildren	внуки	Reverse	3/10/2021 Alisa
Great!	Классно!	Reverse	1/20/2021 Vitaliy
green tea	зелёный чай	Reverse	4/05/2021 Julia
gym	спортзал	Reverse	2/19/2021 Vitaliy
half	половина(пол)	Reverse	4/09/2021 Alisa
happy	счастлив	Reverse	3/29/2021 Alisa
Have a good day	Хорошего дня!	Reverse	3/3/2021 Nastya
Hebrew	Иврит	Reverse	2/15/2021 Katya
here	сюда	Reverse	3/1/2021 Alisa
hiking	поход	Reverse	2/08/2021 Alisa
hospital	больница	Reverse	2/19/2021 Vitaliy
hot	жарко	Reverse	1/08/2021 Nastya
housewife	домохозяйка	Reverse	2/24/2021 Nastya
How are you?	Как дела?	Reverse	1/20/2021 Vitaliy
How long…?	Сколько ты играешь на гитаре и клавишах?	Reverse	2/22/2021 Vitaliy
how much / how many	сколько	Reverse	1/20/2021 Vitaliy
how often	как что часто ты играешь на пианино?	Reverse	2/05/2021 Julia
I agree	Я согласен	Reverse	2/19/2021 Vitaliy
i came back home	я вернулся домой	Reverse	3/29/2021 Alisa
I decided	Я решил	Reverse	2/17/2021 Nastya
i got burned	я сгорел	Reverse	3/29/2021 Alisa
I have to	Мне нужно	Reverse	3/10/2021 Alisa
I have to	Я должен	Reverse	3/10/2021 Alisa
i hope so	я надеюсь на это	Reverse	4/09/2021 Alisa
I hope...	Я надеюсь…	Reverse	2/19/2021 Vitaliy
I like….	Я люблю читать книги, играть на фортепиано (пианИно) и программировать (писать код).	Reverse	1/20/2021 Vitaliy
i listen	слушаю	Reverse	2/08/2021 Alisa
I live in…	Я живу в…	Reverse	1/20/2021 Vitaliy
I met (my friend)	Я познакомился	Reverse	2/05/2021 Julia
I prefer	Я предпочитаю	Reverse	1/08/2021 Nastya
I still wake up early	Я всё равно просыпаюсь рано	Reverse	4/05/2021 Julia
I will have a dog (for singular)	У меня будет	Reverse	2/17/2021 Nastya
image	картинка	Reverse	2/12/2021 Vitaliy
impossible	невозможно	Reverse	1/08/2021 Nastya
in the mountains	в горах	Reverse	3/29/2021 Alisa
inside	внутри	Reverse	3/3/2021 Nastya
It’s better than…	Это лучше, чем…	Reverse	3/12/2021 Vitaliy
It’s funny	Это смешно	Reverse	2/22/2021 Vitaliy
I’m from...	Я из…	Reverse	1/20/2021 Vitaliy
jam	варенье	Reverse	3/3/2021 Nastya
keyboard	клавиши	Reverse	2/22/2021 Vitaliy
kitchen	кухня	Reverse	2/19/2021 Vitaliy
later	позже	Reverse	2/08/2021 Alisa
laziness	лень	Reverse	2/22/2021 Vitaliy
lazy	ленивый	Reverse	2/27/2021 Nastya
less	меньше	Reverse	3/31/2021 Julia
less	менее	Reverse	2/08/2021 Alisa
linguistics	лингвистика	Reverse	2/17/2021 Nastya
long	длинный	Reverse	3/12/2021 Vitaliy
long time ago	давно	Reverse	2/12/2021 Vitaliy
loud	громкий	Reverse	3/31/2021 Julia
meeting	встреча	Reverse	1/22/2021 Vitaliy
mess	беспорядок	Reverse	1/26/2021 Natasha
met	встретил	Reverse	1/22/2021 Vitaliy
Middle East	ближний Восток	Reverse	1/22/2021 Vitaliy
military hospital	госпиталь	Reverse	2/19/2021 Vitaliy
miss smth	скучать по (+dative)	Reverse	2/15/2021 Katya
more	больше	Reverse	3/31/2021 Julia
more	больше (книг)	Reverse	1/26/2021 Natasha
more beautiful	более красивый	Reverse	1/26/2021 Natasha
mountains	горы	Reverse	2/10/2021 Nastya
mountains	горы	Reverse	2/02/2021 Nastya
nature	природа	Reverse	2/08/2021 Alisa
near	около	Reverse	2/02/2021 Nastya
necessary	необходимые	Reverse	2/08/2021 Alisa
neck	шея	Reverse	3/10/2021 Alisa
neighbour	сосед	Reverse	1/22/2021 Vitaliy
neighbour / roommate / housemate	сосед	Reverse	1/29/2021 Vitaliy
nephew	племянник	Reverse	3/31/2021 Julia
next	следующий	Reverse	2/17/2021 Nastya
no one is around me	никого вокруг меня	Reverse	3/29/2021 Alisa
nobody	никто	Reverse	3/29/2021 Alisa
noisy	шумный	Reverse	3/31/2021 Julia
noisy	шумные	Reverse	3/29/2021 Alisa
nostalgia	ностальгия	Reverse	2/24/2021 Nastya
not allowed / prohibited /	нельзя	Reverse	2/19/2021 Vitaliy
not comfortable	неудобно	Reverse	3/1/2021 Alisa
not easy	нелегко	Reverse	3/1/2021 Alisa
not important	не важно	Reverse	1/08/2021 Nastya
notes	ноты	Reverse	2/22/2021 Vitaliy
now	сейчас	Reverse	1/26/2021 Natasha
ocean	океан	Reverse	2/10/2021 Nastya
Olympic Games	Олимпийские Игры	Reverse	2/24/2021 Nastya
on the North	На севере	Reverse	2/08/2021 Alisa
on the south	на юге	Reverse	3/1/2021 Alisa
on vacation	в отпуске	Reverse	3/10/2021 Alisa
own	свой / свои	Reverse	2/12/2021 Vitaliy
painting	картина	Reverse	1/26/2021 Natasha
party	вечеринка	Reverse	3/31/2021 Julia
party	вечеринка	Reverse	2/19/2021 Vitaliy
PE class	Физкультура (физическая культура)	Reverse	2/17/2021 Nastya
pet	домашнее животное | питомец	Reverse	2/24/2021 Nastya
place	место	Reverse	1/26/2021 Natasha
plan	план	Reverse	3/26/2021 Vitaliy
popular	популярно / популярный	Reverse	2/27/2021 Nastya
powder	порошок	Reverse	4/09/2021 Alisa
prepositional case	предложный падеж	Reverse	3/1/2021 Alisa
program	программа	Reverse	2/10/2021 Nastya
quiet	тихо	Reverse	3/31/2021 Julia
recently	недавно	Reverse	1/29/2021 Vitaliy
red	красный	Reverse	1/08/2021 Nastya
region	регион	Reverse	1/22/2021 Vitaliy
roe	икра	Reverse	1/08/2021 Nastya
room	комната	Reverse	1/26/2021 Natasha
Russian cuisine	Русская кухня	Reverse	3/3/2021 Nastya
Saturday	Суббота	Reverse	2/02/2021 Nastya
science	наука	Reverse	1/22/2021 Vitaliy
scuba diving	подводное плавание	Reverse	2/17/2021 Nastya
security guard	охранник	Reverse	2/02/2021 Nastya
shadow	тень	Reverse	3/29/2021 Alisa
Silicon Valley	Силиконовая Долина	Reverse	2/10/2021 Nastya
similar	похож	Reverse	2/15/2021 Katya
slow	медленно	Reverse	3/1/2021 Alisa
smart	умный	Reverse	2/10/2021 Nastya
social worker	социальный работник	Reverse	2/02/2021 Nastya
songs	пеcни	Reverse	2/08/2021 Alisa
soul	душа	Reverse	1/29/2021 Vitaliy
Spring	Весна	Reverse	3/3/2021 Nastya
still	всё ещё	Reverse	3/10/2021 Alisa
study	учить	Reverse	2/02/2021 Nastya
suburban area	за городом	Reverse	2/27/2021 Nastya
summer	лето	Reverse	2/17/2021 Nastya
Sunday	Воскресенье	Reverse	2/10/2021 Nastya
